Ranking,Team,Country,Points Scored,1 year change,previous point scored,symbol change,,,,
65,1. FC KÃ¶ln,Germany,1668,160,1529,+,,,,
34,1. FC Union Berlin,Germany,1748,32,1665,+,,,,
967,12 de Octubre de Itaugua,Paraguay,1352,270,1390,-,,,,
265,1Âº de Agosto,Angola,1512,11,1518,-,,,,
2530,1Âº de Maio,Angola,1218,24,1218,-,,,,
1189,2 de Mayo,Paraguay,1326,8,1326,-,,,,
1213,3 de Febrero,Paraguay,1324,10,1324,-,,,,
727,AaB,Denmark,1388,12,1383,+,,,,
2141,Aalesund,Norway,1248,329,1225,+,,,,
1873,Aarau,Switzerland,1266,7,1266,-,,,,
888,Aberdeen,Scotland,1361,419,1441,-,,,,
1638,Aberystwyth,Wales,1286,145,1298,-,,,,
1323,Abha Club,Saudi Arabia,1312,41,1306,+,,,,
945,Abia Warriors,Nigeria,1354,151,1372,-,,,,
2020,ABM Galaxy FC,Vanuatu,1255,1,1255,-,,,,
1538,Aboomoslem,Iran,1292,32,1292,-,,,,
2014,AC Horsens,Denmark,1255,0,1255,-,,,,es
2139,AC Kuya Sport,Congo DR,1249,33,1250,-,,,,
2712,AC LALA FC,Venezuela,1180,174,1220,-,,,,
2267,AC Mamahira,Mali,1241,37,1241,-,,,,
6,AC Milan,Italy,1900,11,1831,+,,,,
1521,AC Oulu,Finland,1293,278,1270,+,,,,
2299,AC Rangers,Denmark,1238,90,1234,+,,,,
2259,Academia Cantolao,Peru,1241,729,1295,-,,,,
1128,Academia F. Amadou Diallo,Ivory Coast,1332,256,1362,-,,,,
1811,Academia Puerto Cabello,Venezuela,1270,9,1270,-,,,,
2639,Academia Quintana,Puerto Rico,1201,12,1201,-,,,,
1237,AcadÃ©mica,Portugal,1322,6,1322,-,,,,
1774,AcadÃ©mica do Soyo,Angola,1272,2,1272,-,,,,
1963,AcadÃ©mica Lobito,Angola,1259,421,1234,+,,,,
1591,Accra Great Olympics,Ghana,1288,114,1279,+,,,,
2070,Accra Lions FC,Ghana,1252,37,1250,+,,,,
2641,ACS FC Academica Clinceni,Romania,1200,1615,1344,-,,,,
1779,ACS Poli TimiÅŸoara,Romania,1272,4,1272,-,,,,
1139,AD Grecia FC,Costa Rica,1331,112,1319,+,,,,
1643,AD Guanacasteca,Costa Rica,1285,202,1300,-,,,,
2541,AD Municipal Liberia,Costa Rica,1217,23,1217,-,,,,
1738,AD UniÃ³n Magdalena,Colombia,1276,483,1319,-,,,,
2538,Adamawa United,Nigeria,1217,154,1234,-,,,,
582,Adana Demirspor,Turkey,1417,379,1350,+,,,,
1581,Adanaspor,Turkey,1289,21,1289,-,,,,
955,Adelaide United,Australia,1353,60,1345,+,,,,
2004,Admira Wacker MÃ¶dling,Austria,1256,283,1242,+,,,,
1613,ADO Den Haag,Netherlands,1287,22,1287,-,,,,
929,Aduana Stars,Ghana,1356,72,1364,-,,,,
2215,AdzopÃ©,Ivory Coast,1244,42,1244,-,,,,
2497,AE Kouklion,Cyprus,1221,29,1221,-,,,,
225,AEK,Greece,1530,42,1549,-,,,,
243,AEK Larnaca,Cyprus,1523,36,1505,+,,,,
1931,AEL Kalloni FC,Greece,1261,5,1261,-,,,,
361,AEL Limassol,Cyprus,1473,87,1506,-,,,,
2377,AEZ Zakakiou,Cyprus,1232,37,1232,-,,,,
2703,Afan Lido,Wales,1185,8,1185,-,,,,
267,AFC Bournemouth,England,1512,1,1512,-,,,,
2304,AFC Eskilstuna,Sweden,1237,45,1237,-,,,,
1380,AFC Herrmannstadt Sibiu,Romania,1305,5,1305,-,,,,
1100,AFC UTA Arad,Romania,1336,202,1315,+,,,,
1234,Africa Sports National,Ivory Coast,1322,7,1322,-,,,,
851,AGF,Denmark,1367,340,1431,-,,,,
732,Ãguila,El Salvador,1387,165,1359,+,,,,
1440,Ãguilas,Costa Rica,1300,3,1300,-,,,,
770,Ãguilas Doradas,Colombia,1380,49,1369,+,,,,
2115,Ahal FK,Turkmenistan,1250,8,1250,-,,,,
1450,Aigle Royal,Cameroon,1299,29,1299,-,,,,
209,AIK,Sweden,1538,72,1504,+,,,,
2117,AÃ¯n Fakroun,Algeria,1250,47,1250,-,,,,
2694,Air Force Central FC,Thailand,1188,8,1188,-,,,,
2466,Air India,India,1224,26,1224,-,,,,
1461,Airbus UK Broughton FC,Wales,1299,27,1299,-,,,,
1714,Aizawl,India,1278,114,1289,-,,,,
832,Ajaccio,France,1369,17,1369,-,,,,
961,Ajax,Congo DR,1352,17,1352,-,,,,
7,Ajax Amsterdam,Netherlands,1899,3,1870,+,,,,
1117,Ajax Cape Town,South Africa,1334,9,1334,-,,,,
2730,Ajax LasnamÃ¤e,Estonia,1173,6,1173,-,,,,
2360,Ajman Club,United Arab Emirates,1233,239,1212,+,,,,
1375,Akademija Pandev,Macedonia,1306,416,1271,+,,,,
2185,Akademik Sofia,Bulgaria,1246,43,1246,-,,,,
1008,Akhisar Belediye,Turkey,1345,4,1345,-,,,,
1843,Akokana,Niger,1268,10,1268,-,,,,
883,Aktobe,Kazakhstan,1362,20,1364,-,,,,
1394,Akwa Starlets,Nigeria,1303,77,1313,-,,,,
530,Akwa United,Nigeria,1428,49,1438,-,,,,
1914,Akzhaiyk Uralsk,Kazakhstan,1263,36,1265,-,,,,
